Date,Spot_Price,Theoretical_Feb_2026,Theoretical_Mar_2026,Theoretical_Feb_2027
2025-03-04,843.5971069335938,901.5048568309461,906.1850297787337,960.5412589419695
2025-03-05,833.73046875,890.7961831414581,895.4207618852561,949.1313116417872
2025-03-06,834.3224487304688,891.2638439177173,895.8908505278736,949.6295978877037
2025-03-07,833.3604736328125,890.0715977989161,894.692414849482,948.3592757377511
2025-03-10,832.4971313476562,888.6563456339954,893.2698153864894,946.8513436551756
2025-03-11,831.510498046875,887.4390246738366,892.0461746904095,945.5543046001471
2025-03-12,844.1644287109375,900.7774783782445,905.4538751323363,959.7662470167523
2025-03-13,841.9197998046875,898.2161918278313,902.8792916330112,957.0372307624266
2025-03-17,843.79443359375,899.5505090774515,904.2205360061496,958.4589277849846
2025-03-18,843.79443359375,899.3841692275342,904.0533326009672,958.2816949196917
2025-03-19,860.4197387695312,916.9351746255246,921.695454247581,976.9820543164735
2025-03-20,872.5803833007812,929.7226227378738,934.54928854551,990.6069077106846
2025-03-21,873.3696899414062,930.3915436909349,935.2216822094778,991.3196339589321
2025-03-24,887.9969482421875,945.4491325658596,950.3574427321504,1007.363291699606
2025-03-25,898.5789184570312,956.538831211306,961.504713677076,1019.1792159483441
2025-03-26,891.2283325195312,948.5386887074472,953.4630383403755,1010.6551720742107
2025-03-27,900.5029296875,958.2324642355806,963.2071392168914,1020.983759079749
2025-03-28,901.908935546875,959.5511388162013,964.5326597119322,1022.3887890495894
2025-04-01,872.1363525390625,927.1896302690349,932.0031460168128,987.9080384184415
2025-04-02,886.4676513671875,942.2513188512546,947.1430275304587,1003.9560643419115
2025-04-03,885.456298828125,941.0022868212884,945.887511136184,1002.6252375699515
2025-04-04,896.5316162109375,952.5961939638732,957.5416081825247,1014.9783891679837
2025-04-07,867.1289672851562,920.8438304145707,925.6244018686092,981.1466743115104
2025-04-08,872.7777099609375,926.6711015684714,931.4819253684706,987.3555530856529
2025-04-09,870.7303466796875,924.3263622133262,929.1250132716962,984.8572649455322
2025-04-11,891.3269653320312,945.840867106349,950.7512109670623,1007.7806795659515
2025-04-15,920.01416015625,975.5606672626202,980.6253018114546,1039.446725557051
2025-04-16,926.476806640625,982.2318381988341,987.3311062091625,1046.5547681606301
2025-04-17,940.6353759765625,997.0580605006193,1002.2342990164408,1062.351907939968
2025-04-21,950.6994018554688,1006.9805974258552,1012.2083489075126,1072.9242371269327
2025-04-22,967.7686767578125,1024.8708212180984,1030.1914500046178,1091.986029144962
2025-04-23,949.1207885742188,1004.9367728965551,1010.1539138394012,1070.7465696728368
2025-04-24,945.6181030273438,1001.0429595879758,1006.2398857537495,1066.5977641404343
2025-04-25,942.8554077148438,997.9337698741621,1003.1145546453798,1063.2849644595824
2025-04-28,947.29541015625,1002.0770408519485,1007.2793354626293,1067.699563772037
2025-04-29,941.6715087890625,995.9437136134688,1001.114166984467,1061.1645863700717
2025-04-30,949.6633911132812,1004.210471983324,1009.4238423265332,1069.9727058513836
2025-05-02,948.1340942382812,1002.2225812230496,1007.4256314082595,1067.8546350733452
2025-05-05,955.4847412109375,1009.4323798024669,1014.6728597408443,1075.5365781618561
2025-05-06,952.9686889648438,1006.5881016240555,1011.8138154591937,1072.5060381469345
2025-05-07,959.8259887695312,1013.6437599289222,1018.9061032962,1080.0237468530695
2025-05-08,951.3900756835938,1004.5490523650991,1009.7641804522974,1070.3334586789463
2025-05-09,932.248779296875,984.1562165899624,989.2654750330869,1048.605167366457
2025-05-12,965.5486450195312,1018.7448617150206,1024.0336875115413,1085.4589019656382
2025-05-13,948.4794311523438,1000.5501812723726,1005.7445491737902,1066.0727154953136
2025-05-14,942.5594482421875,994.1213347537197,999.2823272236751,1059.222866288423
2025-05-15,954.0047607421875,1006.0066934811917,1011.2293889291949,1071.8865556169474
2025-05-16,954.44873046875,1006.2887518905357,1011.5129116480512,1072.1870850456612
2025-05-19,956.4220581054688,1007.8099764551471,1013.0420336676799,1073.8079292899863
2025-05-20,944.6807861328125,995.2537829803576,1000.4206545684508,1060.4294745912614
2025-05-21,950.5514526367188,1001.2535521259956,1006.4515715853792,1066.8221476477004
2025-05-22,947.1474609375,997.4835094512463,1002.6619566902424,1062.8052180553314
2025-05-23,953.906005859375,1004.4154712628969,1009.6299058622495,1070.1911298172568
2025-05-26,957.1620483398438,1007.2849304704014,1012.5142619005986,1073.2484998788536
2025-05-27,950.3048095703125,999.8836774792236,1005.0745852184483,1065.3625646983323
2025-05-28,948.9234619140625,998.2456386437581,1003.4280424853199,1063.6172564248475
2025-05-29,950.896728515625,1000.136495833486,1005.3287160821371,1065.6319392429584
2025-05-30,959.4807739257812,1008.9784350343999,1014.2165583132347,1075.0529061375678
2025-06-02,953.1660766601562,1001.7820379970814,1006.9828010970107,1067.3852422113064
2025-06-03,949.466064453125,997.7087828822933,1002.8883996309264,1063.0452438559964
2025-06-04,957.6553955078125,1006.1281348490583,1011.351460761335,1072.0159497555303
2025-06-05,961.7993774414062,1010.295016148552,1015.5399744735514,1076.4557055471378
2025-06-06,976.1552734375,1025.1851554383452,1030.5074160946242,1092.3209480146238
2025-06-09,976.2539672851562,1024.7201395850054,1030.0399861060744,1091.8254798983842
2025-06-10,969.5447387695312,1017.4896478229407,1022.7719571619436,1084.1214885030215
2025-06-11,962.194091796875,1009.5887823297393,1014.8300742336555,1075.7032229439774
2025-06-12,958.74072265625,1005.7792934780492,1011.0008083762917,1071.6442639824133
2025-06-13,946.0127563476562,992.2433425965444,997.3945854483767,1057.2218909888804
2025-06-16,954.7940673828125,1000.8983395094084,1006.0945148783622,1066.443673398401
2025-06-17,951.9327392578125,997.7143201662392,1002.8939656617463,1063.0511437573139
2025-06-18,954.0540771484375,999.7527772990502,1004.9430054684674,1065.223092322885
2025-06-19,954.7447509765625,1000.2915315226253,1005.4845566408593,1065.7971276774942
2025-06-20,969.2486572265625,1015.2995787403418,1020.5705183102343,1081.7879994509885
2025-06-23,961.2073364257812,1006.3177444073706,1011.5420546798744,1072.2179761810885
2025-06-24,967.3740234375,1012.5865636453141,1017.8434185657912,1078.8973184799875
2025-06-25,976.8953247070312,1022.3637809591817,1027.6713944170424,1089.31481158216
2025-06-26,997.41796875,1043.6486062339554,1049.0667201097503,1111.993505668913
2025-06-27,1004.9491577148438,1051.334425344779,1056.7924402398658,1120.182642209633
2025-06-30,998.2658081054688,1043.7633586469017,1049.1820682611828,1112.1157728162977
2025-07-01,1003.5526123046875,1049.0970883028624,1054.5434880366781,1117.7987897848388
2025-07-02,990.5350341796875,1035.297253429944,1040.6720111605396,1103.095251959629
2025-07-03,991.0836181640625,1035.679080487932,1041.0558204781394,1103.5020835370728
2025-07-04,992.1809692382812,1036.6340846754158,1042.015782580968,1104.5196276108397
2025-07-07,991.2332763671875,1035.069521684387,1040.4430971429772,1102.852606858029
2025-07-08,998.2159423828125,1042.1682411685322,1047.578669711875,1110.4161966695651
2025-07-09,1003.1036987304688,1047.0775540585066,1052.5134693568077,1115.6470033015478
2025-07-10,1000.6099243164062,1044.281319694209,1049.7027183092907,1112.6676533222026
2025-07-11,989.3878784179688,1032.3785531473052,1037.7381584114419,1099.9854161969959
2025-07-14,989.0387573242188,1031.4418650552698,1036.796607492284,1098.9873876757492
2025-07-15,995.2732543945312,1037.7517232915134,1043.139223430938,1105.7104564735066
2025-07-16,995.6722412109375,1037.9757667750582,1043.3644300388332,1105.9491717817064
2025-07-17,990.98388671875,1032.897183390532,1038.2594811296076,1100.538009722122
2025-07-18,976.2705078125,1017.3733457858139,1022.6550513414387,1083.997570251985
2025-07-21,997.7670288085938,1039.198209609042,1044.5932191990053,1107.2516681241743
2025-07-22,1001.058837890625,1042.4339107499245,1047.8457185199886,1110.6992640232677
2025-07-23,1009.6375122070312,1051.172739976592,1056.6299154802098,1120.0103686318103
2025-07-24,1004.5999755859375,1045.734558232428,1051.1635013522805,1114.216059372893
2025-07-25,1002.2999877929688,1043.1474659365422,1048.5629781366554,1111.4595474450205
2025-07-28,1004.25,1044.597250821261,1050.0202895964626,1113.0042736745143
2025-07-29,1010.7999877929688,1051.21597327265,1056.6733732224268,1120.0564331253167
2025-07-30,1012.9000244140625,1053.2051892544457,1058.6729162421243,1122.1759159090018
2025-07-31,1009.0999755859375,1049.0599072878133,1054.5061139959569,1117.7591739150703
2025-08-01,1006.0999755859375,1045.7476989772788,1051.176710317461,1114.2300606591941
2025-08-04,996.0,1034.6755186509226,1040.0470486381828,1102.4328019430327
2025-08-05,988.7999877929688,1027.0059805811018,1032.3376940722837,1094.2610126317848
2025-08-06,992.6500244140625,1030.814130155814,1036.1656136997979,1098.3185446118032
2025-08-07,997.7000122070312,1035.8666911513317,1041.2444051244797,1103.701980167077
2025-08-08,986.9500122070312,1024.5159707087437,1029.8347572847172,1091.6079407160323
2025-08-11,997.7999877929688,1035.2044403025814,1040.5787161927467,1102.996360824958
2025-08-12,984.9500122070312,1021.683799659584,1026.9878829866204,1088.5903006839399
2025-08-13,990.1500244140625,1026.8878252534812,1032.2189253399056,1094.135119724738
2025-08-14,995.5499877929688,1032.2972229818854,1037.6564060195228,1099.8987600033101
2025-08-18,1001.7999877929688,1038.0097928782982,1043.3986327889836,1105.9854261355183
2025-08-19,995.5499877929688,1031.343142743791,1036.6973726627773,1098.8822003851487
2025-08-20,994.0999755859375,1029.6505655963233,1034.9960084813654,1097.078782276232
2025-08-21,995.5999755859375,1031.01352345695,1036.3660421535753,1098.530995483306
2025-08-22,982.2999877929688,1017.0523519237352,1022.3323910359923,1083.6555556238247
2025-08-25,982.0499877929688,1016.2295522701154,1021.5053198084023,1082.7788736967598
2025-08-26,973.4000244140625,1007.0922726387133,1012.3206038835369,1073.0432255591509
2025-08-28,957.7999877929688,990.585823878511,995.7284617026434,1055.4558271634048
2025-08-29,951.5999755859375,983.9915951609993,989.0999989700607,1048.4297654555
2025-09-01,950.5999755859375,982.4123678291754,987.5125730611791,1046.7471200454709
2025-09-02,944.5,975.9277564608873,980.9942967575633,1039.837854143853
2025-09-03,954.4500122070312,986.0264860307302,991.1454539994055,1050.597914215887
2025-09-04,961.25,992.8678111793109,998.0222959670525,1057.8872538364737
2025-09-05,963.4000244140625,994.9045488266654,1000.0696073615884,1060.0573703134958
2025-09-08,966.0,997.0362435249037,1002.212368777642,1062.3286622467679
2025-09-09,965.1500244140625,995.9747552550203,1001.1453697790616,1061.197660820231
2025-09-10,965.9000244140625,996.5643953783524,1001.7380710259507,1061.8259144143146
2025-09-11,967.7999877929688,998.3400351827568,1003.5229290850484,1063.717834663248
2025-09-12,967.2999877929688,997.6397450228951,1002.8190033606783,1062.971684948489
2025-09-15,967.0499877929688,996.8287151234207,1002.0037629900494,1062.1075435356304
2025-09-16,966.8499755859375,996.438253998879,1001.6112747820388,1061.691512476792
2025-09-17,966.5,995.8933790999257,1001.0635711587114,1061.1109556251672
2025-09-18,976.9000244140625,1006.4235543700227,1011.6484139561778,1072.3307152683647
2025-09-19,966.9000244140625,995.9371406892874,1001.1075599368731,1061.1575830080596
2025-09-22,964.2000122070312,992.6051993058118,997.7583207409583,1057.6074444292667
2025-09-23,957.2000122070312,985.2167658912233,990.3315301883782,1049.7351683345983
2025-09-24,951.0499877929688,978.7057231542641,983.7866852973335,1042.7977401663586
2025-09-25,949.8499755859375,977.2900671622332,982.3636799107575,1041.289377811447
2025-09-26,945.0499877929688,972.1716113643977,977.2186515901254,1035.835732233569
2025-09-29,950.2999877929688,977.0300777562107,982.1023407667104,1041.0123626079455
2025-09-30,951.0,977.5689799230357,982.644040650401,1041.5865555940914
2025-10-01,965.25,992.0336203158939,997.1837743920674,1056.9984347290967
2025-10-03,965.1500244140625,991.5640599194036,996.7117762673182,1056.4981244634596
2025-10-06,973.4500122070312,999.5365089073994,1004.7256143169462,1064.9926612701718
2025-10-07,982.5,1008.6424710970072,1013.878850215154,1074.694941096185
2025-10-08,978.7000122070312,1004.5555816429394,1009.7707436269594,1070.340415536371
2025-10-09,977.0999755859375,1002.7278216943095,1007.9334948413012,1068.3929619771386
2025-10-10,980.9000244140625,1006.4414000872896,1011.6663523196937,1072.3497296392807
2025-10-13,977.0,1001.8838301749047,1007.0851217301087,1067.4937004030685
2025-10-14,977.1500244140625,1001.8523844518799,1007.0535127562474,1067.4601954095529
2025-10-15,978.25,1002.794701945015,1008.0007223016061,1068.4642219817013
2025-10-16,994.3499755859375,1019.1101496537169,1024.4008718468192,1085.8481113346757
2025-10-17,1002.5499877929688,1027.3243470464315,1032.6577133408205,1094.6002278041665
2025-10-20,1002.9500122070312,1027.1642334053995,1032.4967684679593,1094.4296288804167
2025-10-21,1007.7000122070312,1031.8380756354215,1037.1948750042702,1099.4095447019497
2025-10-23,1008.7999877929688,1032.5824149383104,1037.943078553306,1100.202628184151
2025-10-24,994.75,1018.0129190646584,1023.2979449723979,1084.6790269494084
2025-10-27,1002.9500122070312,1025.8354084802957,1031.1610449328036,1093.0137838555104
2025-10-28,1003.5499877929688,1026.2592691357402,1031.58710606577,1093.4654016637915
2025-10-29,1007.8499755859375,1030.4659778846064,1035.8156539920258,1097.9475930652252
2025-10-30,998.1500244140625,1020.359647167064,1025.6568561410372,1087.1794340728964
2025-10-31,987.2999877929688,1009.081560471541,1014.3202191272821,1075.162784899141
2025-11-03,992.6500244140625,1013.9869178360981,1019.2510427116415,1080.3893769721722
2025-11-04,985.25,1006.2417277766841,1011.4656434079657,1072.1369814869536
2025-11-06,984.6500244140625,1005.2570929309074,1010.4758968189368,1071.0878663466478
2025-11-07,982.2999877929688,1002.6724311266918,1007.8778167129075,1068.33394407485
2025-11-10,984.5,1004.3607021478304,1009.5748524126855,1070.132774064275
2025-11-11,991.7000122070312,1011.5188839975799,1016.7701960467498,1077.7597202239044
2025-11-12,989.5,1009.0882756360892,1014.3269691536851,1075.169939816344
2025-11-13,986.6500244140625,1005.9958240215118,1011.2184630405887,1071.874974354344
2025-11-14,989.5999755859375,1008.817037231655,1014.0543226119203,1074.880938956843
2025-11-17,996.5499877929688,1015.3385513114982,1020.6096932079472,1081.8295241996125
2025-11-18,992.4500122070312,1010.9742981013001,1016.2227829264566,1077.1794713007278
2025-11-19,994.5999755859375,1012.977042300197,1018.235924395152,1079.3133682171676
2025-11-20,1008.8499755859375,1027.300339532782,1032.6335811918846,1094.5746481223598
2025-11-21,998.0499877929688,1016.1149070061526,1021.3900793622184,1082.6567207151713
2025-11-24,999.1500244140625,1016.6706547249835,1021.9487122517945,1083.2488624096447
2025-11-25,989.7999877929688,1006.9704224309913,1012.1981210890447,1072.913395807219
2025-11-26,1003.9000244140625,1021.1262018493131,1026.4273904008332,1087.9961877420042
2025-11-27,1009.5,1026.6323946174257,1031.9621686327328,1093.862961829115
2025-11-28,1007.5999755859375,1024.5106427518606,1029.8294016676837,1091.602263849875
2025-12-01,1002.0999755859375,1018.353202085942,1023.6399945769436,1085.04159391639
2025-12-02,989.7999877929688,1005.6677218962069,1010.8886575692846,1071.5253859676438
2025-12-03,1000.5,1016.3512959497367,1021.6276955217521,1082.908589944438
2025-12-04,997.2000122070312,1012.8117070999765,1018.0697308553167,1079.1372057925685
2025-12-05,1003.2999877929688,1018.8187519281325,1024.107961326554,1085.537630990544
2025-12-08,1003.0999755859375,1018.050680343592,1023.3359022894502,1084.719261082515
2025-12-09,997.0999755859375,1011.7741271204317,1017.0267642672424,1078.0316783267394
2025-12-10,989.7999877929688,1004.1809847679349,1009.3942020279221,1069.9412876213228
2025-12-11,1000.2999877929688,1014.6458839712283,1019.9134298771252,1081.0914964962565
2025-12-12,1001.5,1015.6752585410003,1020.9481484569467,1082.1882812087067
2025-12-15,996.0999755859375,1009.6385047121632,1014.880054750406,1075.7562014714354
2025-12-16,994.2999877929688,1007.6276929805647,1012.8588038663195,1073.6137087077752
2025-12-17,984.0,997.0052482983,1002.181212638959,1062.2956372511094
2025-12-18,979.7000122070312,992.4648737923084,997.6172667259198,1057.4579294883536
2025-12-19,985.5,998.1558241690554,1003.3377617377274,1063.5215603141182
2025-12-22,987.7000122070312,999.829235324994,1005.019860427142,1065.3045573177099
2025-12-23,996.5999755859375,1008.6519438870773,1013.8883721833241,1074.7050342261673
2025-12-24,997.2000122070312,1009.0726102277197,1014.311222418166,1075.1532485351347
2025-12-26,992.0999755859375,1003.5406116997333,1008.7505044554902,1069.258978759133
2025-12-29,991.7000122070312,1002.5796560246858,1007.7845599678808,1068.2350934556837
2025-12-30,990.9000244140625,1001.5856499337563,1006.785393482771,1067.1759933801345
2025-12-31,991.2000122070312,1001.7036090344685,1006.9039649695263,1067.3016772100589
2026-01-01,991.1500244140625,1001.4678714398937,1006.6670035404877,1067.0505019843713
2026-01-02,1001.5999755859375,1011.8394680418855,1017.0924444068496,1078.101298196758
2026-01-05,977.5,986.9454113116777,992.0691498916353,1051.5770167016326
2026-01-06,962.2000122070312,971.3179385157366,976.3605468889431,1034.926155333828
2026-01-07,949.0499877929688,957.8661468338406,962.8389200741005,1020.5934528317312
2026-01-08,946.7000122070312,955.3176565802465,960.2771993037185,1017.8780708589773
2026-01-09,939.0,947.3723373161491,952.2906318222659,1009.4124404069573
2026-01-12,936.9500122070312,944.7797673012287,949.6846024499642,1006.6500920433767
2026-01-13,937.3499755859375,945.0082950621247,949.9143166153883,1006.8935852885779
2026-01-14,925.4500122070312,932.8385796254347,937.6814219594878,993.9269177238397
2026-01-15,925.4500122070312,932.6660843316562,937.5080311543857,993.7431263161816
2026-01-16,931.0999755859375,938.1865862379476,943.0571928105214,999.6251465969167
2026-01-19,927.9000244140625,934.4437121203636,939.29488751843,995.6371647355613
2026-01-20,931.2000122070312,937.5935652890091,942.46109318643,998.9932907787739
2026-01-21,920.3499755859375,926.4976786321045,931.3076021049127,987.1707732873358
2026-01-22,918.7000122070312,924.6656782889304,929.4660909106527,985.2188016449414
2026-01-23,916.0999755859375,921.878257981938,926.6641996787221,982.2488429247071
2026-01-27,926.4000244140625,931.5539245460133,936.3900975782825,992.5581350734265
2026-01-28,932.7000122070312,937.7155322793119,942.5836933697815,999.1232449609698
2026-01-29,935.5,940.3566591288771,945.2385316600999,1001.9373299765789
2026-01-30,929.25,933.9014884011553,938.749848838478,995.0594326801763
2026-02-02,928.0999755859375,932.2283686961475,937.0680431130651,993.2767462136183
2026-02-03,948.7000122070312,952.743830172478,957.6900108462231,1015.1356935558679
2026-02-04,953.0999755859375,956.9855551757867,961.9537568142133,1019.6551943038577
2026-02-05,949.7000122070312,953.3954017396093,958.3449650547224,1015.8299342675411
2026-02-06,941.0999755859375,944.5872013212592,949.4910367614701,1006.4449155904406
2026-02-09,937.25,940.2011965391738,945.0822619845541,1001.7716866852526
2026-02-10,932.4000244140625,935.1629923408175,940.0179018905131,996.4035481036061
2026-02-11,927.0999755859375,929.6752958006654,934.5017159099567,990.5564814977768
2026-02-12,920.5999755859375,922.9865348725219,927.7782302016714,983.4296969951773
2026-02-13,903.9000244140625,906.0757133797332,910.7796159824479,965.411444909962
2026-02-16,925.7999877929688,927.5136677394848,932.3288657315592,988.2532959702473
2026-02-17,925.7000122070312,927.242014976425,932.0558026800207,987.9638536172223
2026-02-18,924.7000122070312,926.069074021102,930.876772388088,986.7141008584284
2026-02-19,915.5999755859375,916.7860060728219,921.5455112846023,976.823117236632
2026-02-20,911.8499755859375,912.8623158629447,917.601451191372,972.6424782690924
2026-02-23,923.5999755859375,924.112525958493,928.9100668834596,984.6294253017761
2026-02-24,910.5,910.8368225592363,915.5654425156231,970.48434248848
2026-02-25,907.5999755859375,907.767834937802,912.4805222092631,967.2143775945221
2026-02-26,898.5999755859375,898.5999755859375,903.2650678089607,957.4461471774405
2026-02-27,887.75,887.75,892.193754455879,945.7107367294144
2026-03-02,879.4000244140625,879.4000244140625,883.3117894150447,936.2959995600255
