Symbol,Date,Expiry,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in ₹ Lakhs,Open Int,Change in OI,Underlying Value
HDFCBANK,30-01-2026,24-02-2026,935.7,941.85,932.25,933.85,934,933.85,28961,149104.09,230773400,-533500,929.25
HDFCBANK,29-01-2026,24-02-2026,935,943.2,929.5,940.7,940.85,940.7,49549,255521.4,231306900,-2049850,935.5
HDFCBANK,28-01-2026,24-02-2026,936,944.5,931.75,936.2,936.3,936.2,51608,266411.21,233356750,-3167450,932.7
HDFCBANK,27-01-2026,24-02-2026,921.65,937.85,911.5,932.8,934,932.8,108228,549439.01,236524200,32781100,926.4
HDFCBANK,23-01-2026,24-02-2026,927.9,931.8,915.3,921.65,920.45,921.65,141625,718871.39,203743100,66688050,916.1
HDFCBANK,22-01-2026,24-02-2026,935.7,935.7,920.2,926.35,928.05,926.35,116341,592336.94,137055050,52941350,918.7
HDFCBANK,21-01-2026,24-02-2026,935,938.9,921.85,927.4,928.4,927.4,105751,541626.51,84113700,49390550,920.35
HDFCBANK,20-01-2026,24-02-2026,934.7,940.15,925.75,936.7,936.6,936.7,21599,111163.64,34723150,7506950,931.2
HDFCBANK,19-01-2026,24-02-2026,939.65,941.8,925.65,933.55,931.25,933.55,14769,75750.44,27216200,4702500,927.9
HDFCBANK,16-01-2026,24-02-2026,934.05,944.5,928.4,939.55,938.25,939.55,10912,56344.16,22513700,3632750,931.1
HDFCBANK,14-01-2026,24-02-2026,942.2,948.85,929,934.05,933.95,934.05,9928,51178.13,18880950,4275700,925.45
HDFCBANK,13-01-2026,24-02-2026,955.95,960,942.7,945,944.4,945,3975,20712.94,14605250,1110450,937.35
HDFCBANK,12-01-2026,24-02-2026,948.45,951.15,938.4,946.05,945.5,946.05,6099,31696.2,13494800,2273150,936.95
HDFCBANK,09-01-2026,24-02-2026,955,958.4,942.35,948.1,948.45,948.1,6905,36019.19,11222200,2389750,939
HDFCBANK,08-01-2026,24-02-2026,951,962,951,956.05,957.05,956.05,4580,24106.8,8832450,1597750,946.7
HDFCBANK,07-01-2026,24-02-2026,970,970,956.25,958,958.9,958,6324,33397.37,7234700,2696100,949.05
HDFCBANK,06-01-2026,24-02-2026,975,976.8,967.35,972.3,972.85,972.3,2656,14214.23,4538600,853600,962.2
HDFCBANK,05-01-2026,24-02-2026,1011,1011,984.9,985.75,986.3,985.75,2590,14154.65,3685000,562650,977.5
HDFCBANK,02-01-2026,24-02-2026,1004.2,1012.25,1004.2,1010.75,1010.4,1010.75,3047,16923.81,3122350,1410750,1001.6
HDFCBANK,01-01-2026,24-02-2026,1006.25,1008.2,1000.6,1000.95,1000.75,1001,359,1980.81,1711600,118800,991.15